Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221283248, Accel_X,0.100708008, Accel_Y,-0.010864258, Accel_Z,1.002929688, Accel_M,221284578, derec,874, derec_M,221286253, izq,876, izq_M,221285415
Gyro_X,2.807617188, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221293899, Accel_X,0.100952148, Accel_Y,-0.011352539, Accel_Z,1.002807617, Accel_M,221295231, derec,887, derec_M,221296905, izq,880, izq_M,221296067
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.601074219, Gyro_M,221304599, Accel_X,0.10144043, Accel_Y,-0.011352539, Accel_Z,1.002807617, Accel_M,221305930, derec,885, derec_M,221307604, izq,871, izq_M,221306766
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,221314950, Accel_X,0.10144043, Accel_Y,-0.010864258, Accel_Z,1.002563477, Accel_M,221316280, derec,884, derec_M,221317954, izq,877, izq_M,221317117
Gyro_X,2.685546875, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221325661, Accel_X,0.100830078, Accel_Y,-0.010131836, Accel_Z,1.003417969, Accel_M,221326992, derec,869, derec_M,221328666, izq,871, izq_M,221327829
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,221336338, Accel_X,0.101318359, Accel_Y,-0.011474609, Accel_Z,1.002563477, Accel_M,221337668, derec,889, derec_M,221339343, izq,874, izq_M,221338505
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221347031, Accel_X,0.100585938, Accel_Y,-0.01184082, Accel_Z,1.002197266, Accel_M,221348362, derec,888, derec_M,221350036, izq,872, izq_M,221349199
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221358142, Accel_X,0.102294922, Accel_Y,-0.010375977, Accel_Z,1.003295898, Accel_M,221359473, derec,885, derec_M,221361147, izq,894, izq_M,221360309
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221368459, Accel_X,0.102905273, Accel_Y,-0.010742188, Accel_Z,1.004150391, Accel_M,221369790, derec,883, derec_M,221371464, izq,881, izq_M,221370626
Gyro_X,2.624511719, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221378971, Accel_X,0.102416992, Accel_Y,-0.011108398, Accel_Z,1.003417969, Accel_M,221380302, derec,883, derec_M,221381976, izq,875, izq_M,221381139
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221389464, Accel_X,0.102050781, Accel_Y,-0.009887695, Accel_Z,1.003173828, Accel_M,221390795, derec,887, derec_M,221392469, izq,877, izq_M,221391632
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221400443, Accel_X,0.102050781, Accel_Y,-0.009521484, Accel_Z,1.00402832, Accel_M,221401774, derec,883, derec_M,221403448, izq,877, izq_M,221402611
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221411317, Accel_X,0.10144043, Accel_Y,-0.010131836, Accel_Z,1.002441406, Accel_M,221412648, derec,887, derec_M,221414322, izq,868, izq_M,221413485
Gyro_X,2.807617188, Gyro_Y,-4.8828125, Gyro_Z,-3.662109375, Gyro_M,221421735, Accel_X,0.1015625, Accel_Y,-0.010131836, Accel_Z,1.002197266, Accel_M,221423067, derec,887, derec_M,221424741, izq,871, izq_M,221423904
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221432255, Accel_X,0.1015625, Accel_Y,-0.011230469, Accel_Z,1.002075195, Accel_M,221433586, derec,882, derec_M,221435260, izq,882, izq_M,221434422
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.601074219, Gyro_M,221442949, Accel_X,0.103271484, Accel_Y,-0.010498047, Accel_Z,1.002441406, Accel_M,221444280, derec,883, derec_M,221445954, izq,873, izq_M,221445117
Gyro_X,2.685546875, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221453641, Accel_X,0.102905273, Accel_Y,-0.009399414, Accel_Z,1.002075195, Accel_M,221454971, derec,887, derec_M,221456645, izq,878, izq_M,221455808
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221464097, Accel_X,0.10144043, Accel_Y,-0.010375977, Accel_Z,1.003295898, Accel_M,221465428, derec,883, derec_M,221467102, izq,872, izq_M,221466265
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221474443, Accel_X,0.101318359, Accel_Y,-0.011352539, Accel_Z,1.00378418, Accel_M,221475774, derec,885, derec_M,221477448, izq,875, izq_M,221476611
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221484849, Accel_X,0.101806641, Accel_Y,-0.010742188, Accel_Z,1.002197266, Accel_M,221486179, derec,882, derec_M,221487854, izq,878, izq_M,221487016
Gyro_X,2.685546875, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221495569, Accel_X,0.101318359, Accel_Y,-0.010620117, Accel_Z,1.003295898, Accel_M,221496899, derec,883, derec_M,221498574, izq,863, izq_M,221497736
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.784179688, Gyro_M,221506248, Accel_X,0.100830078, Accel_Y,-0.010253906, Accel_Z,1.002685547, Accel_M,221507578, derec,887, derec_M,221509252, izq,885, izq_M,221508415
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221516911, Accel_X,0.103149414, Accel_Y,-0.009887695, Accel_Z,1.002563477, Accel_M,221518241, derec,886, derec_M,221519915, izq,876, izq_M,221519078
Gyro_X,2.746582031, Gyro_Y,-4.8828125, Gyro_Z,-3.601074219, Gyro_M,221527437, Accel_X,0.102416992, Accel_Y,-0.008666992, Accel_Z,1.003540039, Accel_M,221528768, derec,883, derec_M,221530442, izq,871, izq_M,221529605
Gyro_X,2.868652344, Gyro_Y,-5.065917969, Gyro_Z,-3.540039063, Gyro_M,221538243, Accel_X,0.101806641, Accel_Y,-0.011108398, Accel_Z,1.003295898, Accel_M,221539574, derec,884, derec_M,221541248, izq,882, izq_M,221540411
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221548936, Accel_X,0.102050781, Accel_Y,-0.010131836, Accel_Z,1.002441406, Accel_M,221550267, derec,885, derec_M,221551942, izq,879, izq_M,221551104
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221559422, Accel_X,0.102661133, Accel_Y,-0.010498047, Accel_Z,1.002807617, Accel_M,221560753, derec,876, derec_M,221562427, izq,874, izq_M,221561590
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221570084, Accel_X,0.102172852, Accel_Y,-0.011474609, Accel_Z,1.002685547, Accel_M,221571414, derec,886, derec_M,221573089, izq,880, izq_M,221572251
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221580820, Accel_X,0.100585938, Accel_Y,-0.010498047, Accel_Z,1.001708984, Accel_M,221582151, derec,890, derec_M,221583825, izq,873, izq_M,221582988
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221591281, Accel_X,0.1015625, Accel_Y,-0.010742188, Accel_Z,1.002197266, Accel_M,221592611, derec,874, derec_M,221594286, izq,878, izq_M,221593448
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221601970, Accel_X,0.102661133, Accel_Y,-0.010620117, Accel_Z,1.003173828, Accel_M,221603300, derec,875, derec_M,221604974, izq,881, izq_M,221604137
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.784179688, Gyro_M,221612723, Accel_X,0.102050781, Accel_Y,-0.010864258, Accel_Z,1.004882813, Accel_M,221614056, derec,885, derec_M,221615730, izq,878, izq_M,221614893
Gyro_X,2.685546875, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221623438, Accel_X,0.101806641, Accel_Y,-0.010009766, Accel_Z,1.002685547, Accel_M,221624769, derec,882, derec_M,221626443, izq,891, izq_M,221625606
Gyro_X,2.685546875, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221633901, Accel_X,0.101928711, Accel_Y,-0.010742188, Accel_Z,1.002807617, Accel_M,221635232, derec,882, derec_M,221636906, izq,870, izq_M,221636069
Gyro_X,2.746582031, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221644275, Accel_X,0.101196289, Accel_Y,-0.010253906, Accel_Z,1.001586914, Accel_M,221645605, derec,881, derec_M,221647280, izq,875, izq_M,221646442
Gyro_X,2.685546875, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221654599, Accel_X,0.100341797, Accel_Y,-0.010009766, Accel_Z,1.001831055, Accel_M,221655930, derec,886, derec_M,221657604, izq,873, izq_M,221656767
Gyro_X,2.807617188, Gyro_Y,-4.8828125, Gyro_Z,-3.662109375, Gyro_M,221664951, Accel_X,0.10144043, Accel_Y,-0.011108398, Accel_Z,1.002929688, Accel_M,221666282, derec,882, derec_M,221667956, izq,875, izq_M,221667119
Gyro_X,2.685546875, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221675471, Accel_X,0.102661133, Accel_Y,-0.008911133, Accel_Z,1.001831055, Accel_M,221676801, derec,883, derec_M,221678476, izq,875, izq_M,221677638
Gyro_X,2.807617188, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,221686164, Accel_X,0.101928711, Accel_Y,-0.009643555, Accel_Z,1.003051758, Accel_M,221687494, derec,882, derec_M,221689169, izq,881, izq_M,221688331
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.784179688, Gyro_M,221697016, Accel_X,0.100708008, Accel_Y,-0.010864258, Accel_Z,1.002807617, Accel_M,221698347, derec,886, derec_M,221700021, izq,873, izq_M,221699183
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221707746, Accel_X,0.100463867, Accel_Y,-0.010253906, Accel_Z,1.003295898, Accel_M,221709078, derec,884, derec_M,221710753, izq,858, izq_M,221709915
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221718394, Accel_X,0.102050781, Accel_Y,-0.010986328, Accel_Z,1.004638672, Accel_M,221719724, derec,879, derec_M,221721399, izq,881, izq_M,221720561
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221728873, Accel_X,0.102539063, Accel_Y,-0.011352539, Accel_Z,1.004882813, Accel_M,221730204, derec,886, derec_M,221731878, izq,871, izq_M,221731041
Gyro_X,2.685546875, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221740084, Accel_X,0.10144043, Accel_Y,-0.010253906, Accel_Z,1.003662109, Accel_M,221741414, derec,881, derec_M,221743089, izq,878, izq_M,221742251
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.784179688, Gyro_M,221750790, Accel_X,0.102416992, Accel_Y,-0.010131836, Accel_Z,1.002807617, Accel_M,221752120, derec,887, derec_M,221753794, izq,881, izq_M,221752957
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.784179688, Gyro_M,221761845, Accel_X,0.101074219, Accel_Y,-0.009643555, Accel_Z,1.00402832, Accel_M,221763176, derec,883, derec_M,221764850, izq,878, izq_M,221764013
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.723144531, Gyro_M,221772195, Accel_X,0.101074219, Accel_Y,-0.010986328, Accel_Z,1.002685547, Accel_M,221773526, derec,884, derec_M,221775200, izq,879, izq_M,221774362
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.601074219, Gyro_M,221782671, Accel_X,0.101318359, Accel_Y,-0.010253906, Accel_Z,1.002929688, Accel_M,221784003, derec,886, derec_M,221785678, izq,880, izq_M,221784840
Gyro_X,2.807617188, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221793384, Accel_X,0.1015625, Accel_Y,-0.009277344, Accel_Z,1.003051758, Accel_M,221794714, derec,884, derec_M,221796389, izq,878, izq_M,221795551
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221803826, Accel_X,0.101318359, Accel_Y,-0.011474609, Accel_Z,1.00402832, Accel_M,221805156, derec,881, derec_M,221806832, izq,915, izq_M,221805993
Gyro_X,2.807617188, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,221814354, Accel_X,0.102050781, Accel_Y,-0.010375977, Accel_Z,1.002807617, Accel_M,221815685, derec,886, derec_M,221817359, izq,876, izq_M,221816522
Gyro_X,2.685546875, Gyro_Y,-4.8828125, Gyro_Z,-3.662109375, Gyro_M,221824951, Accel_X,0.102172852, Accel_Y,-0.009277344, Accel_Z,1.004760742, Accel_M,221826282, derec,880, derec_M,221827956, izq,878, izq_M,221827119
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,221836109, Accel_X,0.1015625, Accel_Y,-0.009887695, Accel_Z,1.002807617, Accel_M,221837440, derec,897, derec_M,221839114, izq,872, izq_M,221838277
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221846814, Accel_X,0.100585938, Accel_Y,-0.010986328, Accel_Z,1.003417969, Accel_M,221848144, derec,888, derec_M,221849819, izq,882, izq_M,221848981
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221857412, Accel_X,0.100463867, Accel_Y,-0.010253906, Accel_Z,1.003417969, Accel_M,221858743, derec,889, derec_M,221860417, izq,877, izq_M,221859580
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221867740, Accel_X,0.101928711, Accel_Y,-0.010498047, Accel_Z,1.002441406, Accel_M,221869072, derec,880, derec_M,221870746, izq,873, izq_M,221869909
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221878057, Accel_X,0.104125977, Accel_Y,-0.010253906, Accel_Z,1.005249023, Accel_M,221879387, derec,883, derec_M,221881061, izq,878, izq_M,221880224
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,221888476, Accel_X,0.1015625, Accel_Y,-0.010375977, Accel_Z,1.003295898, Accel_M,221889807, derec,892, derec_M,221891481, izq,868, izq_M,221890644
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.784179688, Gyro_M,221899367, Accel_X,0.100097656, Accel_Y,-0.010009766, Accel_Z,1.005981445, Accel_M,221900698, derec,886, derec_M,221902372, izq,879, izq_M,221901534
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,221909987, Accel_X,0.102294922, Accel_Y,-0.010375977, Accel_Z,1.002685547, Accel_M,221911317, derec,879, derec_M,221912992, izq,875, izq_M,221912154
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221920306, Accel_X,0.10168457, Accel_Y,-0.010620117, Accel_Z,1.004150391, Accel_M,221921636, derec,884, derec_M,221923310, izq,879, izq_M,221922473
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,221930624, Accel_X,0.101074219, Accel_Y,-0.011230469, Accel_Z,1.004150391, Accel_M,221931954, derec,885, derec_M,221933629, izq,883, izq_M,221932791
